DISPLAY_FIRST_LAST,SCHOOL,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,TEAM_NAME,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,PTS,AST,REB,PIE,current_avg_salary,age,year_played
Kenrich Williams,TCU,78.0,210.0,2,34,Guard-Forward,Thunder,Undrafted,Undrafted,Undrafted,7.0,1.8,4.1,0.098,2000000.0,26,2
Lou Williams,South Gwinnett HS (GA),73.0,175.0,15,23,Guard,Clippers,2005,2,45,12.0,3.5,2.1,0.103,8000000.0,34,15
Zion Williamson,Duke,79.0,284.0,1,1,Forward,Pelicans,2019,1,1,25.7,3.4,7.0,0.154,13027239.75,20,1
Dylan Windler,Belmont,78.0,196.0,0,9,Guard-Forward,Cavaliers,2019,1,26,5.4,1.1,3.6,0.087,3593235.0,24,1
Justise Winslow,Duke,78.0,222.0,5,7,Forward-Guard,Grizzlies,2015,1,10,7.8,1.8,4.9,0.053,13000000.0,25,5
Christian Wood,UNLV,82.0,214.0,4,35,Forward,Rockets,Undrafted,Undrafted,Undrafted,21.9,1.4,9.8,0.169,13666666.666666666,25,5
Delon Wright,Utah,77.0,185.0,5,55,Guard,Pistons,2015,1,20,10.5,5.1,4.6,0.119,8763158.0,29,5
Thaddeus Young,Georgia Tech,80.0,235.0,13,21,Forward,Bulls,2007,1,12,12.2,4.4,6.5,0.131,13867500.0,33,13
Trae Young,Oklahoma,73.0,180.0,2,11,Guard,Hawks,2018,1,5,25.7,9.4,4.1,0.151,8646390.333333334,22,2
Cody Zeller,Indiana,83.0,240.0,7,40,Forward-Center,Hornets,2013,1,4,9.2,2.3,7.1,0.101,15415730.0,28,7
Ivica Zubac,Mega Basket,84.0,240.0,4,40,Center,Clippers,2016,2,32,8.5,1.1,7.0,0.126,7345678.666666667,24,4
